GAge	GSex	GCity	GCity_X	GCity_Y	GState	VFrom	VNights	VPersons	VTypeOfVisit	VPriceRoom	VPriceFood	VPriceDeduction	VPriceTotal	QSatisfaction	QRoom	QFood	QService	QCulture	WTemperature	WSky	XEUR
82	male	München	11.5836375	48.1364669	Germany	27.5.2012	1	3	private	3630	0	200	3430	high	86	91	62	22	28.3	cloudy	25.43
77	male	Wien	16.3736767	48.2115631	Austria	29.5.2012	7	2	private	16940	0	200	16740	low	15	33	29	48	21.5	cloudy	25.5
36	male	Wien	16.3736767	48.2115631	Austria	29.5.2012	7	2	private	16940	0	200	16740	low	31	39	31	39	21.5	cloudy	25.5
63	male	Wien	16.3736767	48.2115631	Austria	29.5.2012	7	2	private	16940	0	200	16740	low	13	40	16	1	21.5	cloudy	25.5
55	male	Praha	14.4212806	50.0874967	CR	1.6.2012	26	2	private	62920	7800	200	70520	low	13	23	37	47	12.7	cloudy	25.79
23	female	Praha	14.4212806	50.0874967	CR	1.6.2012	26	4	private	125840	15600	200	141240	low	38	34	16	37	12.7	cloudy	25.79
38	male	Praha	14.4212806	50.0874967	CR	1.6.2012	26	1	private	31460	3900	200	35160	low	5	36	23	40	12.7	cloudy	25.79
76	male	Praha	14.4212806	50.0874967	CR	1.6.2012	26	3	private	94380	0	200	94180	low	31	28	37	37	12.7	cloudy	25.79
58	male	Praha	14.4212806	50.0874967	CR	1.6.2012	26	3	private	94380	11700	200	105880	low	30	39	39	47	12.7	cloudy	25.79
53	male	München	11.5836375	48.1364669	Germany	2.6.2012	21	4	private	101640	12600	200	114040	average	43	66	43	51	16.7	cloudy	25.79
28	male	München	11.5836375	48.1364669	Germany	2.6.2012	21	4	private	101640	0	200	101440	average	26	67	72	33	16.7	cloudy	25.79
51	female	Berlin	13.3908886	52.5176189	Germany	2.6.2012	1	4	private	4840	0	200	4640	low	31	31	15	39	16.7	cloudy	25.79
66	male	München	11.5836375	48.1364669	Germany	4.6.2012	28	4	business	135520	16800	200	152120	average	50	65	41	62	16.8	cloudy	25.73
41	female	München	11.5836375	48.1364669	Germany	4.6.2012	28	1	business	33880	4200	200	37880	average	49	44	55	61	16.8	cloudy	25.73
62	female	München	11.5836375	48.1364669	Germany	4.6.2012	28	4	business	135520	16800	200	152120	average	34	41	47	46	16.8	cloudy	25.73
30	male	Jihlava	15.5909008	49.3963828	CR	5.6.2012	7	2	private	16940	2100	200	18840	low	7	21	24	39	16.8	cloudy	25.72
29	male	Wien	16.3736767	48.2115631	Austria	5.6.2012	7	3	private	25410	3150	200	28360	low	14	27	21	56	16.8	cloudy	25.72
55	female	München	11.5836375	48.1364669	Germany	5.6.2012	7	1	private	8470	1050	200	9320	low	23	39	40	40	16.8	cloudy	25.72
28	male	Hradec Králové	15.8353464	50.2100194	CR	5.6.2012	7	3	private	25410	3150	200	28360	low	29	33	31	47	16.8	cloudy	25.72
31	female	Wien	16.3736767	48.2115631	Austria	5.6.2012	7	2	private	16940	2100	200	18840	low	5	37	25	71	16.8	cloudy	25.72
36	female	Wien	16.3736767	48.2115631	Austria	5.6.2012	7	2	private	16940	0	200	16740	low	7	23	28	53	16.8	cloudy	25.72
73	female	Praha	14.4212806	50.0874967	CR	8.6.2012	26	3	private	94380	11700	200	105880	low	15	36	28	54	22.1	cloudy	25.48
66	female	Salzburg	13.0475658	47.798095	Austria	9.6.2012	1	3	private	3630	450	200	3880	average	33	65	59	60	23.6	cloudy	25.48
27	female	Jihlava	15.5909008	49.3963828	CR	9.6.2012	1	3	private	3630	0	200	3430	average	58	54	58	64	23.6	cloudy	25.48
30	female	München	11.5836375	48.1364669	Germany	9.6.2012	1	2	private	2420	300	200	2520	average	44	66	42	57	23.6	cloudy	25.48
77	female	Salzburg	13.0475658	47.798095	Austria	9.6.2012	1	3	private	3630	0	200	3430	average	50	54	58	36	23.6	cloudy	25.48
24	male	Salzburg	13.0475658	47.798095	Austria	9.6.2012	1	3	private	3630	450	200	3880	average	28	55	43	33	23.6	cloudy	25.48
62	male	Salzburg	13.0475658	47.798095	Austria	9.6.2012	1	3	private	3630	450	200	3880	average	50	59	55	51	23.6	cloudy	25.48
20	female	Salzburg	13.0475658	47.798095	Austria	9.6.2012	1	3	private	3630	0	200	3430	average	49	53	43	61	23.6	cloudy	25.48
63	male	Salzburg	13.0475658	47.798095	Austria	9.6.2012	1	3	private	3630	450	200	3880	average	50	67	47	57	23.6	cloudy	25.48
55	female	Salzburg	13.0475658	47.798095	Austria	9.6.2012	1	3	private	3630	450	200	3880	average	41	55	44	51	23.6	cloudy	25.48
56	female	München	11.5836375	48.1364669	Germany	11.6.2012	28	1	business	33880	4200	200	37880	average	44	60	60	45	25.1	rain/snow	25.4
25	female	München	11.5836375	48.1364669	Germany	11.6.2012	28	2	business	67760	0	200	67560	average	35	41	47	34	25.1	rain/snow	25.4
18	female	München	11.5836375	48.1364669	Germany	11.6.2012	28	1	business	33880	4200	200	37880	average	58	66	55	50	25.1	rain/snow	25.4
43	male	München	11.5836375	48.1364669	Germany	11.6.2012	28	4	business	135520	16800	200	152120	average	28	49	69	34	25.1	rain/snow	25.4
44	female	Zlín	17.6700633	49.2280669	CR	11.6.2012	28	4	business	135520	16800	200	152120	average	60	49	71	60	25.1	rain/snow	25.4
21	female	Wien	16.3736767	48.2115631	Austria	12.6.2012	7	2	private	16940	2100	200	18840	low	8	21	26	4	19.2	sunny	25.68
70	male	Brno	16.6153758	49.1921808	CR	15.6.2012	2	2	private	4840	600	200	5240	average	59	55	54	48	25.9	rain/snow	25.59
65	male	Salzburg	13.0475658	47.798095	Austria	16.6.2012	1	3	private	3630	450	200	3880	average	49	67	56	61	25.8	sunny	25.59
70	male	Praha	14.4212806	50.0874967	CR	18.6.2012	28	4	business	135520	16800	200	152120	average	41	51	58	35	27.3	rain/snow	25.51
51	female	München	11.5836375	48.1364669	Germany	18.6.2012	28	4	business	135520	0	200	135320	average	52	42	72	47	27.3	rain/snow	25.51
30	female	Budweis	14.4757883	48.9763169	CR	22.6.2012	2	2	private	4840	600	200	5240	high	98	92	87	27	22.2	cloudy	25.77
43	female	Brno	16.6153758	49.1921808	CR	22.6.2012	2	2	private	4840	600	200	5240	high	84	91	64	49	22.2	cloudy	25.77
36	male	Wien	16.3736767	48.2115631	Austria	22.6.2012	2	4	private	9680	1200	200	10680	average	35	42	42	63	22.2	cloudy	25.77
71	female	Katovice	19.0241283	50.2592108	Poland	22.6.2012	2	2	private	4840	0	200	4640	high	87	100	61	53	22.2	cloudy	25.77
41	male	Praha	14.4212806	50.0874967	CR	22.6.2012	20	2	private	48400	6000	200	54200	high	98	84	99	27	22.2	cloudy	25.77
18	female	Brno	16.6153758	49.1921808	CR	22.6.2012	2	2	private	4840	600	200	5240	average	33	66	60	48	22.2	cloudy	25.77
29	male	Pardubice	15.780415	50.0409775	CR	22.6.2012	2	1	private	2420	300	200	2520	high	89	92	64	25	22.2	cloudy	25.77
52	male	Dresden	13.7397044	51.0497456	Germany	23.6.2012	21	1	private	25410	3150	200	28360	low	6	22	26	1	22.9	cloudy	25.77
65	female	Dresden	13.7397044	51.0497456	Germany	23.6.2012	21	3	private	76230	9450	200	85480	low	37	27	28	69	22.9	cloudy	25.77
65	female	Salzburg	13.0475658	47.798095	Austria	29.6.2012	2	1	private	2420	300	200	2520	high	93	98	89	54	25.5	cloudy	25.64
66	male	Pardubice	15.780415	50.0409775	CR	29.6.2012	2	1	private	2420	300	200	2520	high	83	83	92	21	25.5	cloudy	25.64
29	male	Pardubice	15.780415	50.0409775	CR	29.6.2012	2	1	private	2420	300	200	2520	high	92	88	76	21	25.5	cloudy	25.64
29	male	Praha	14.4212806	50.0874967	CR	29.6.2012	20	1	private	24200	3000	200	27000	high	99	95	89	21	25.5	cloudy	25.64
54	female	Katovice	19.0241283	50.2592108	Poland	29.6.2012	2	2	private	4840	600	200	5240	high	85	86	87	56	25.5	cloudy	25.64
24	male	Brno	16.6153758	49.1921808	CR	29.6.2012	2	1	private	2420	300	200	2520	average	25	55	45	60	25.5	cloudy	25.64
24	male	Katovice	19.0241283	50.2592108	Poland	29.6.2012	2	2	private	4840	0	200	4640	high	87	91	91	55	25.5	cloudy	25.64
21	female	Salzburg	13.0475658	47.798095	Austria	29.6.2012	2	4	private	9680	1200	200	10680	average	34	42	45	35	25.5	cloudy	25.64
62	female	Katovice	19.0241283	50.2592108	Poland	29.6.2012	2	2	private	4840	600	200	5240	high	89	98	74	49	25.5	cloudy	25.64
53	male	Wien	16.3736767	48.2115631	Austria	29.6.2012	2	4	private	9680	1200	200	10680	average	52	66	45	47	25.5	cloudy	25.64
56	female	Praha	14.4212806	50.0874967	CR	29.6.2012	20	2	private	48400	6000	200	54200	high	97	83	90	23	25.5	cloudy	25.64
25	male	Brno	16.6153758	49.1921808	CR	29.6.2012	2	2	private	4840	600	200	5240	average	57	42	45	48	25.5	cloudy	25.64
39	male	Wien	16.3736767	48.2115631	Austria	29.6.2012	2	4	private	9680	0	200	9480	average	43	43	60	57	25.5	cloudy	25.64
53	female	Pardubice	15.780415	50.0409775	CR	29.6.2012	2	2	private	4840	0	200	4640	high	89	97	73	27	25.5	cloudy	25.64
21	female	Brno	16.6153758	49.1921808	CR	29.6.2012	2	2	private	4840	0	200	4640	average	42	49	41	58	25.5	cloudy	25.64
51	female	Katovice	19.0241283	50.2592108	Poland	29.6.2012	2	2	private	4840	0	200	4640	high	93	95	90	22	25.5	cloudy	25.64
19	female	Praha	14.4212806	50.0874967	CR	29.6.2012	2	4	private	9680	1200	200	10680	average	51	68	42	57	25.5	cloudy	25.64
73	male	Katovice	19.0241283	50.2592108	Poland	29.6.2012	2	2	private	4840	600	200	5240	high	87	89	88	22	25.5	cloudy	25.64
76	female	Brno	16.6153758	49.1921808	CR	29.6.2012	2	2	private	4840	0	200	4640	average	52	52	46	50	25.5	cloudy	25.64
25	female	Praha	14.4212806	50.0874967	CR	29.6.2012	2	1	private	2420	300	200	2520	high	93	85	99	58	25.5	cloudy	25.64
53	male	Brno	16.6153758	49.1921808	CR	29.6.2012	2	1	private	2420	0	200	2220	average	34	65	43	51	25.5	cloudy	25.64
75	male	Pardubice	15.780415	50.0409775	CR	29.6.2012	2	2	private	4840	600	200	5240	high	95	95	61	50	25.5	cloudy	25.64
66	male	Wien	16.3736767	48.2115631	Austria	29.6.2012	2	4	private	9680	1200	200	10680	average	26	57	60	51	25.5	cloudy	25.64
24	female	Pardubice	15.780415	50.0409775	CR	29.6.2012	2	1	private	2420	0	200	2220	high	89	95	92	49	25.5	cloudy	25.64
40	female	Katovice	19.0241283	50.2592108	Poland	29.6.2012	2	2	private	4840	600	200	5240	high	93	84	98	58	25.5	cloudy	25.64
33	male	Warsaw	21.0099069	52.2342533	Poland	29.6.2012	2	4	private	9680	1200	200	10680	average	43	44	43	59	25.5	cloudy	25.64
73	male	Pardubice	15.780415	50.0409775	CR	29.6.2012	2	3	private	7260	0	200	7060	high	96	89	74	59	25.5	cloudy	25.64
18	male	Katovice	19.0241283	50.2592108	Poland	29.6.2012	2	2	private	4840	600	200	5240	high	96	82	100	53	25.5	cloudy	25.64
41	female	Pardubice	15.780415	50.0409775	CR	29.6.2012	2	1	private	2420	0	200	2220	high	96	88	88	51	25.5	cloudy	25.64
29	male	Wien	16.3736767	48.2115631	Austria	29.6.2012	2	4	private	9680	1200	200	10680	average	28	68	58	46	25.5	cloudy	25.64
63	male	Praha	14.4212806	50.0874967	CR	29.6.2012	20	1	private	24200	0	200	24000	high	94	88	88	58	25.5	cloudy	25.64
29	male	Dresden	13.7397044	51.0497456	Germany	30.6.2012	21	1	private	25410	0	200	25210	low	39	23	27	38	24.9	sunny	25.64
43	male	Dresden	13.7397044	51.0497456	Germany	30.6.2012	21	2	private	50820	0	200	50620	low	29	30	28	55	24.9	sunny	25.64
67	male	Dresden	13.7397044	51.0497456	Germany	30.6.2012	21	2	private	50820	6300	200	56920	low	16	39	16	40	24.9	sunny	25.64
65	male	Nitra	18.0902903	48.3139558	Slovakia	30.6.2012	1	1	private	1210	150	200	1160	high	89	97	76	57	24.9	sunny	25.64
30	male	Dresden	13.7397044	51.0497456	Germany	30.6.2012	21	4	private	101640	12600	200	114040	low	15	36	24	4	24.9	sunny	25.64
20	male	Dresden	13.7397044	51.0497456	Germany	30.6.2012	21	1	private	25410	3150	200	28360	low	16	21	37	55	24.9	sunny	25.64
31	male	Dresden	13.7397044	51.0497456	Germany	30.6.2012	21	1	private	25410	3150	200	28360	low	13	38	30	3	24.9	sunny	25.64
38	male	Salzburg	13.0475658	47.798095	Austria	30.6.2012	21	1	private	25410	0	200	25210	low	40	26	24	69	24.9	sunny	25.64
21	female	Dresden	13.7397044	51.0497456	Germany	30.6.2012	21	1	private	25410	0	200	25210	low	37	40	27	37	24.9	sunny	25.64
80	female	Wien	16.3736767	48.2115631	Austria	6.7.2012	2	4	private	9680	1200	200	10680	average	52	41	53	33	31.1	rain/snow	25.5
75	female	Wien	16.3736767	48.2115631	Austria	6.7.2012	20	2	private	48400	0	200	48200	high	83	89	85	24	31.1	rain/snow	25.5
58	male	Zlín	17.6700633	49.2280669	CR	6.7.2012	2	2	private	4840	600	200	5240	average	43	65	55	64	31.1	rain/snow	25.5
53	male	Praha	14.4212806	50.0874967	CR	6.7.2012	20	2	private	48400	6000	200	54200	high	86	90	74	24	31.1	rain/snow	25.5
77	male	Wien	16.3736767	48.2115631	Austria	6.7.2012	2	3	private	7260	900	200	7960	average	50	57	48	48	31.1	rain/snow	25.5
65	male	Praha	14.4212806	50.0874967	CR	6.7.2012	20	2	private	48400	6000	200	54200	high	85	83	85	25	31.1	rain/snow	25.5
48	female	München	11.5836375	48.1364669	Germany	6.7.2012	2	2	private	4840	600	200	5240	average	58	66	70	35	31.1	rain/snow	25.5
82	female	Brno	16.6153758	49.1921808	CR	6.7.2012	2	4	private	9680	0	200	9480	average	28	51	54	50	31.1	rain/snow	25.5
35	female	Ostrava	18.2825511	49.8341497	CR	6.7.2012	20	2	private	48400	0	200	48200	high	95	91	73	26	31.1	rain/snow	25.5
55	male	Praha	14.4212806	50.0874967	CR	6.7.2012	20	2	private	48400	6000	200	54200	high	88	98	88	57	31.1	rain/snow	25.5
20	male	Brno	16.6153758	49.1921808	CR	6.7.2012	2	2	private	4840	600	200	5240	average	51	52	72	34	31.1	rain/snow	25.5
54	male	Nitra	18.0902903	48.3139558	Slovakia	7.7.2012	1	2	private	2420	0	200	2220	high	96	92	98	25	28.2	rain/snow	25.5
77	female	Nitra	18.0902903	48.3139558	Slovakia	7.7.2012	1	2	private	2420	300	200	2520	high	88	93	90	26	28.2	rain/snow	25.5
77	male	Wien	16.3736767	48.2115631	Austria	7.7.2012	7	1	private	8470	1050	200	9320	low	16	38	31	48	28.2	rain/snow	25.5
31	male	Nitra	18.0902903	48.3139558	Slovakia	7.7.2012	1	2	private	2420	300	200	2520	high	98	97	87	59	28.2	rain/snow	25.5
31	male	Nitra	18.0902903	48.3139558	Slovakia	7.7.2012	1	4	private	4840	600	200	5240	high	81	90	86	60	28.2	rain/snow	25.5
65	female	München	11.5836375	48.1364669	Germany	7.7.2012	1	2	private	2420	0	200	2220	high	100	89	90	26	28.2	rain/snow	25.5
81	male	Wien	16.3736767	48.2115631	Austria	7.7.2012	7	1	private	8470	1050	200	9320	low	21	40	16	39	28.2	rain/snow	25.5
54	male	Salzburg	13.0475658	47.798095	Austria	7.7.2012	1	2	private	2420	300	200	2520	high	83	97	73	49	28.2	rain/snow	25.5
43	female	Linz	14.2862742	48.3066489	Austria	13.7.2012	2	1	private	2420	0	200	2220	average	58	66	46	35	25.2	sunny	25.4
40	male	Ostrava	18.2825511	49.8341497	CR	13.7.2012	2	2	private	4840	600	200	5240	average	50	43	70	51	25.2	sunny	25.4
47	female	Linz	14.2862742	48.3066489	Austria	13.7.2012	2	4	private	9680	1200	200	10680	average	52	57	70	60	25.2	sunny	25.4
42	female	Linz	14.2862742	48.3066489	Austria	13.7.2012	2	1	private	2420	0	200	2220	average	51	59	55	34	25.2	sunny	25.4
70	female	Praha	14.4212806	50.0874967	CR	13.7.2012	20	1	private	24200	0	200	24000	high	94	81	89	53	25.2	sunny	25.4
74	male	Linz	14.2862742	48.3066489	Austria	13.7.2012	2	1	private	2420	300	200	2520	average	51	67	71	57	25.2	sunny	25.4
81	female	Linz	14.2862742	48.3066489	Austria	13.7.2012	2	1	private	2420	300	200	2520	average	60	41	43	48	25.2	sunny	25.4
62	female	Linz	14.2862742	48.3066489	Austria	13.7.2012	2	3	private	7260	0	200	7060	average	58	65	57	59	25.2	sunny	25.4
53	male	Linz	14.2862742	48.3066489	Austria	13.7.2012	2	2	private	4840	600	200	5240	average	42	66	55	64	25.2	sunny	25.4
38	male	Linz	14.2862742	48.3066489	Austria	13.7.2012	2	4	private	9680	0	200	9480	average	35	41	54	59	25.2	sunny	25.4
82	female	Linz	14.2862742	48.3066489	Austria	13.7.2012	2	1	private	2420	300	200	2520	average	51	49	58	46	25.2	sunny	25.4
70	female	Liberec	15.0663036	50.7709239	CR	13.7.2012	2	1	private	2420	0	200	2220	average	51	57	45	61	25.2	sunny	25.4
74	female	Linz	14.2862742	48.3066489	Austria	13.7.2012	2	4	private	9680	0	200	9480	average	57	68	71	52	25.2	sunny	25.4
25	female	Wien	16.3736767	48.2115631	Austria	14.7.2012	7	1	private	8470	1050	200	9320	low	16	30	27	38	25.8	sunny	25.4
25	male	Gdaòsk	18.6560864	54.3482911	Poland	14.7.2012	1	1	private	1210	0	200	1010	high	99	97	87	23	25.8	sunny	25.4
26	male	Budweis	14.4757883	48.9763169	CR	14.7.2012	1	2	private	2420	300	200	2520	high	91	88	73	59	25.8	sunny	25.4
76	female	Praha	14.4212806	50.0874967	CR	19.7.2012	1	1	business	1210	0	0	1210	average	41	43	72	62	24.4	sunny	25.33
58	male	Praha	14.4212806	50.0874967	CR	19.7.2012	1	1	business	1210	150	0	1360	average	44	54	46	58	24.4	sunny	25.33
74	male	Ústí nad Labem	14.0390819	50.6700692	CR	19.7.2012	1	1	business	1210	0	0	1210	average	60	52	72	47	24.4	sunny	25.33
51	male	Praha	14.4212806	50.0874967	CR	19.7.2012	1	1	business	1210	150	0	1360	average	26	53	60	34	24.4	sunny	25.33
30	female	Praha	14.4212806	50.0874967	CR	19.7.2012	1	2	business	2420	300	0	2720	average	26	65	54	48	24.4	sunny	25.33
35	male	München	11.5836375	48.1364669	Germany	19.7.2012	1	1	business	1210	150	0	1360	average	49	53	57	47	24.4	sunny	25.33
74	male	Praha	14.4212806	50.0874967	CR	19.7.2012	1	2	business	2420	300	0	2720	average	33	60	45	45	24.4	sunny	25.33
73	female	Praha	14.4212806	50.0874967	CR	19.7.2012	1	1	business	1210	0	0	1210	average	49	66	43	36	24.4	sunny	25.33
24	male	München	11.5836375	48.1364669	Germany	20.7.2012	2	2	private	4840	600	200	5240	average	41	43	46	48	23.1	cloudy	25.57
70	male	München	11.5836375	48.1364669	Germany	20.7.2012	2	4	private	9680	1200	200	10680	average	58	57	41	60	23.1	cloudy	25.57
33	female	Linz	14.2862742	48.3066489	Austria	20.7.2012	2	1	private	2420	300	200	2520	average	27	60	58	58	23.1	cloudy	25.57
66	male	München	11.5836375	48.1364669	Germany	20.7.2012	2	2	private	4840	0	200	4640	average	42	44	42	51	23.1	cloudy	25.57
27	male	Praha	14.4212806	50.0874967	CR	20.7.2012	2	2	private	4840	0	200	4640	average	41	68	72	50	23.1	cloudy	25.57
36	female	München	11.5836375	48.1364669	Germany	20.7.2012	2	2	private	4840	600	200	5240	average	52	55	43	58	23.1	cloudy	25.57
28	male	Linz	14.2862742	48.3066489	Austria	20.7.2012	2	4	private	9680	0	200	9480	average	60	57	58	36	23.1	cloudy	25.57
35	female	München	11.5836375	48.1364669	Germany	20.7.2012	2	2	private	4840	0	200	4640	average	27	60	57	45	23.1	cloudy	25.57
41	female	München	11.5836375	48.1364669	Germany	20.7.2012	2	4	private	9680	0	200	9480	average	35	44	54	58	23.1	cloudy	25.57
58	female	Linz	14.2862742	48.3066489	Austria	20.7.2012	2	4	private	9680	1200	200	10680	average	34	58	58	57	23.1	cloudy	25.57
80	male	Ústí nad Labem	14.0390819	50.6700692	CR	20.7.2012	7	3	private	25410	3150	200	28360	low	30	26	24	53	23.1	cloudy	25.57
31	male	Pilsen	13.3771556	49.7490406	CR	20.7.2012	2	2	private	4840	600	200	5240	average	25	51	42	50	23.1	cloudy	25.57
56	male	München	11.5836375	48.1364669	Germany	20.7.2012	2	2	private	4840	600	200	5240	average	26	65	69	64	23.1	cloudy	25.57
43	male	Praha	14.4212806	50.0874967	CR	21.7.2012	7	1	private	8470	1050	200	9320	low	31	23	39	54	23.8	cloudy	25.57
22	male	Praha	14.4212806	50.0874967	CR	21.7.2012	1	2	private	2420	300	200	2520	high	83	89	62	49	23.8	cloudy	25.57
19	female	Brno	16.6153758	49.1921808	CR	21.7.2012	7	4	private	33880	4200	200	37880	low	15	37	24	47	23.8	cloudy	25.57
51	female	München	11.5836375	48.1364669	Germany	21.7.2012	7	3	private	25410	3150	200	28360	low	38	38	30	69	23.8	cloudy	25.57
20	female	Wien	16.3736767	48.2115631	Austria	21.7.2012	7	1	private	8470	1050	200	9320	low	29	28	30	1	23.8	cloudy	25.57
46	female	Wien	16.3736767	48.2115631	Austria	21.7.2012	7	1	private	8470	0	200	8270	low	31	26	15	47	23.8	cloudy	25.57
81	female	Wien	16.3736767	48.2115631	Austria	21.7.2012	7	1	private	8470	0	200	8270	low	13	39	26	45	23.8	cloudy	25.57
36	female	Nitra	18.0902903	48.3139558	Slovakia	21.7.2012	14	4	private	67760	8400	200	75960	low	29	29	25	2	23.8	cloudy	25.57
28	male	Wien	16.3736767	48.2115631	Austria	21.7.2012	7	1	private	8470	1050	200	9320	low	31	38	21	71	23.8	cloudy	25.57
41	female	Salzburg	13.0475658	47.798095	Austria	24.7.2012	2	2	private	4840	0	0	4840	high	96	97	73	59	24.9	cloudy	25.54
63	female	Praha	14.4212806	50.0874967	CR	26.7.2012	1	1	business	1210	150	0	1360	average	49	49	70	36	25.1	rain/snow	25.5
36	male	Praha	14.4212806	50.0874967	CR	26.7.2012	1	1	business	1210	0	0	1210	average	35	54	47	35	25.1	rain/snow	25.5
22	female	München	11.5836375	48.1364669	Germany	27.7.2012	2	2	private	4840	600	200	5240	average	58	51	58	63	23	rain/snow	25.31
51	female	Linz	14.2862742	48.3066489	Austria	27.7.2012	2	4	private	9680	1200	200	10680	average	57	66	69	61	23	rain/snow	25.31
39	male	Ústí nad Labem	14.0390819	50.6700692	CR	27.7.2012	7	2	private	16940	2100	200	18840	low	8	28	29	70	23	rain/snow	25.31
24	female	Ústí nad Labem	14.0390819	50.6700692	CR	27.7.2012	7	4	private	33880	4200	200	37880	low	16	26	14	40	23	rain/snow	25.31
63	female	München	11.5836375	48.1364669	Germany	27.7.2012	7	1	private	8470	1050	200	9320	low	7	34	13	4	23	rain/snow	25.31
28	female	München	11.5836375	48.1364669	Germany	27.7.2012	2	4	private	9680	1200	200	10680	average	51	67	42	62	23	rain/snow	25.31
76	female	Praha	14.4212806	50.0874967	CR	27.7.2012	7	4	private	33880	0	200	33680	low	37	30	23	39	23	rain/snow	25.31
62	male	Linz	14.2862742	48.3066489	Austria	27.7.2012	2	4	private	9680	0	200	9480	average	50	44	60	58	23	rain/snow	25.31
35	female	Linz	14.2862742	48.3066489	Austria	27.7.2012	2	2	private	4840	0	200	4640	average	50	56	59	62	23	rain/snow	25.31
25	female	Ústí nad Labem	14.0390819	50.6700692	CR	27.7.2012	7	4	private	33880	4200	200	37880	low	31	36	13	45	23	rain/snow	25.31
67	male	Nitra	18.0902903	48.3139558	Slovakia	28.7.2012	14	3	private	50820	6300	200	56920	low	13	39	28	71	23.4	rain/snow	25.31
63	female	Salzburg	13.0475658	47.798095	Austria	31.7.2012	2	1	private	2420	0	0	2420	high	92	83	100	28	24.9	cloudy	25.25
31	female	Salzburg	13.0475658	47.798095	Austria	31.7.2012	2	2	private	4840	600	0	5440	high	89	94	100	21	24.9	cloudy	25.25
50	male	Salzburg	13.0475658	47.798095	Austria	31.7.2012	2	2	private	4840	600	0	5440	high	81	85	87	49	24.9	cloudy	25.25
55	female	Salzburg	13.0475658	47.798095	Austria	31.7.2012	2	2	private	4840	600	0	5440	high	96	89	85	50	24.9	cloudy	25.25
20	male	Salzburg	13.0475658	47.798095	Austria	31.7.2012	2	2	private	4840	0	0	4840	high	81	96	64	57	24.9	cloudy	25.25
55	female	Salzburg	13.0475658	47.798095	Austria	31.7.2012	2	2	private	4840	600	0	5440	high	82	90	63	21	24.9	cloudy	25.25
26	female	Ústí nad Labem	14.0390819	50.6700692	CR	3.8.2012	7	4	private	33880	0	200	33680	low	30	36	23	4	25.6	cloudy	25.28
33	female	Ústí nad Labem	14.0390819	50.6700692	CR	3.8.2012	7	4	private	33880	4200	200	37880	low	32	31	26	54	25.6	cloudy	25.28
65	male	Ústí nad Labem	14.0390819	50.6700692	CR	3.8.2012	7	3	private	25410	3150	200	28360	low	40	22	38	70	25.6	cloudy	25.28
39	female	Ústí nad Labem	14.0390819	50.6700692	CR	3.8.2012	7	4	private	33880	4200	200	37880	low	29	26	29	56	25.6	cloudy	25.28
27	male	Nitra	18.0902903	48.3139558	Slovakia	4.8.2012	14	3	private	50820	0	200	50620	low	40	29	23	46	25.6	sunny	25.28
47	female	Nitra	18.0902903	48.3139558	Slovakia	4.8.2012	14	2	private	33880	4200	200	37880	low	16	23	38	37	25.6	sunny	25.28
53	female	Nitra	18.0902903	48.3139558	Slovakia	4.8.2012	14	3	private	50820	6300	200	56920	low	24	27	40	38	25.6	sunny	25.28
39	female	Nitra	18.0902903	48.3139558	Slovakia	4.8.2012	14	2	private	33880	0	200	33680	low	22	30	30	39	25.6	sunny	25.28
66	male	Nitra	18.0902903	48.3139558	Slovakia	4.8.2012	14	3	private	50820	0	200	50620	low	21	32	14	2	25.6	sunny	25.28
51	female	Nitra	18.0902903	48.3139558	Slovakia	4.8.2012	14	3	private	50820	0	200	50620	low	5	39	39	39	25.6	sunny	25.28
33	male	Nitra	18.0902903	48.3139558	Slovakia	4.8.2012	14	3	private	50820	6300	200	56920	low	29	31	16	53	25.6	sunny	25.28
76	female	Brno	16.6153758	49.1921808	CR	6.8.2012	14	3	private	50820	0	200	50620	high	86	96	100	23	20.9	cloudy	25.17
58	male	Salzburg	13.0475658	47.798095	Austria	7.8.2012	2	3	private	7260	900	0	8160	high	96	91	64	52	24	cloudy	25.12
72	male	Salzburg	13.0475658	47.798095	Austria	7.8.2012	2	2	private	4840	0	0	4840	high	89	81	73	27	24	cloudy	25.12
31	female	München	11.5836375	48.1364669	Germany	10.8.2012	2	3	private	7260	900	200	7960	average	52	44	48	64	19.1	cloudy	25.2
56	female	Nitra	18.0902903	48.3139558	Slovakia	11.8.2012	14	1	private	16940	2100	200	18840	low	32	29	30	56	18.3	cloudy	25.2
23	male	Ostrava	18.2825511	49.8341497	CR	13.8.2012	14	2	private	33880	0	200	33680	high	93	92	74	57	17	cloudy	25.15
30	male	Brno	16.6153758	49.1921808	CR	13.8.2012	14	2	private	33880	4200	200	37880	high	98	98	85	49	17	cloudy	25.15
28	female	Brno	16.6153758	49.1921808	CR	13.8.2012	14	2	private	33880	0	200	33680	high	97	88	61	24	17	cloudy	25.15
44	female	Brno	16.6153758	49.1921808	CR	13.8.2012	14	2	private	33880	0	200	33680	high	95	94	73	25	17	cloudy	25.15
53	female	Brno	16.6153758	49.1921808	CR	13.8.2012	14	4	private	67760	0	200	67560	high	89	95	76	24	17	cloudy	25.15
63	male	Salzburg	13.0475658	47.798095	Austria	14.8.2012	2	1	private	2420	0	0	2420	high	85	91	75	51	20.1	rain/snow	25.04
